city,timestamp,temperature,season
New York,2010-01-01,-1.5031486293416374,winter
New York,2010-01-02,1.918372320054025,winter
New York,2010-01-03,4.075616032480813,winter
New York,2010-01-04,-5.910317976281481,winter
New York,2010-01-05,2.140015853125052,winter
New York,2010-01-06,4.321524483475195,winter
New York,2010-01-07,1.255433849238412,winter
New York,2010-01-08,0.03605954793918982,winter
New York,2010-01-09,-0.7436137285416737,winter
New York,2010-01-10,-0.36898377440110547,winter
New York,2010-01-11,-7.285536886428209,winter
New York,2010-01-12,-6.964511367377414,winter
New York,2010-01-13,3.5026404322084836,winter
New York,2010-01-14,-1.5918812733597991,winter
New York,2010-01-15,0.35337034563615266,winter
New York,2010-01-16,13.403725663332652,winter
New York,2010-01-17,-0.4606006725819494,winter
New York,2010-01-18,2.660557552052953,winter
New York,2010-01-19,-0.8465737992733333,winter
New York,2010-01-20,-1.551169333628689,winter
New York,2010-01-21,5.251995131461208,winter
New York,2010-01-22,5.153203527442787,winter
New York,2010-01-23,1.3699932722853223,winter
New York,2010-01-24,-9.580472070174084,winter
New York,2010-01-25,0.30333007157174563,winter
New York,2010-01-26,-9.260595427578627,winter
New York,2010-01-27,12.064164608913057,winter
New York,2010-01-28,2.38980544926953,winter
New York,2010-01-29,-3.093084724835473,winter
New York,2010-01-30,4.935670062618549,winter
New York,2010-01-31,-1.995120447737997,winter
New York,2010-02-01,8.787752611160547,winter
New York,2010-02-02,3.99321621436568,winter
New York,2010-02-03,1.55452863103533,winter
New York,2010-02-04,-1.8455198719327788,winter
New York,2010-02-05,5.420449850062754,winter
New York,2010-02-06,1.7045097509684672,winter
New York,2010-02-07,-2.1339237183710225,winter
New York,2010-02-08,-3.046091883129381,winter
New York,2010-02-09,3.3280353667702265,winter
New York,2010-02-10,0.10023617483745502,winter
New York,2010-02-11,-9.803788989999905,winter
New York,2010-02-12,3.117024306697375,winter
New York,2010-02-13,-7.60565260950208,winter
New York,2010-02-14,-7.7807958207230135,winter
New York,2010-02-15,9.056429343877934,winter
New York,2010-02-16,0.5569093320780234,winter
New York,2010-02-17,-0.3729107275871164,winter
New York,2010-02-18,1.145928774285863,winter
New York,2010-02-19,-6.834143353403693,winter
New York,2010-02-20,3.125189448510276,winter
New York,2010-02-21,1.524370532009745,winter
New York,2010-02-22,-5.2183402193042205,winter
New York,2010-02-23,11.565819219735719,winter
New York,2010-02-24,-5.887323070134737,winter
New York,2010-02-25,-5.029555319722624,winter
New York,2010-02-26,-6.473018177080835,winter
New York,2010-02-27,1.8237781617128332,winter
New York,2010-02-28,0.18342417301873049,winter
New York,2010-03-01,7.012616430863809,spring
New York,2010-03-02,2.8881945117557075,spring
New York,2010-03-03,9.640867759062347,spring
New York,2010-03-04,8.740039315472314,spring
New York,2010-03-05,3.4191374410478694,spring
New York,2010-03-06,8.218201370474468,spring
New York,2010-03-07,8.39354993968457,spring
New York,2010-03-08,4.8615747619424905,spring
New York,2010-03-09,6.371084086210924,spring
New York,2010-03-10,13.205153999889392,spring
New York,2010-03-11,3.454519883571516,spring
New York,2010-03-12,8.984660454864999,spring
New York,2010-03-13,3.7069443539474713,spring
New York,2010-03-14,14.59289640775149,spring
New York,2010-03-15,6.030199219031369,spring
New York,2010-03-16,9.407207269161164,spring
New York,2010-03-17,15.958598577489425,spring
New York,2010-03-18,15.363588297470878,spring
New York,2010-03-19,12.146119030123524,spring
New York,2010-03-20,9.09076792911363,spring
New York,2010-03-21,7.279635265294212,spring
New York,2010-03-22,14.384048131554982,spring
